smiles,top_score
C#C[C@@H](N)NC(C)=O,-4.3
C#C[C@H](N)NC(C)=O,-4.0
C#C[C@@H](N)c1cc(C)c2ccccc2n1,-6.0
C#C[C@H](N)c1cc(C)c2ccccc2n1,-6.4
C#C[C@@H](N)c1cnc2ccccc2n1,-6.5
C#C[C@H](N)c1cnc2ccccc2n1,-6.9
C#C[C@@H](N=[N+]=[N-])/C(C)=C/CCF,-4.9
C#C[C@H](N=[N+]=[N-])/C(C)=C/CCF,-5.3
C#C[C@@H](NCC)c1cnc2ccccc2n1,-6.6
C#C[C@H](NCC)c1cnc2ccccc2n1,-7.0
C#C[C@@H](NN)c1c(C)nn(C)c1C,-4.9
C#C[C@H](NN)c1c(C)nn(C)c1C,-5.4
C#C[C@@H](NN)c1cc2c(s1)CCCCC2,-6.3
C#C[C@H](NN)c1cc2c(s1)CCCCC2,-6.8
C#C[C@@H](NN)c1cc2sccc2s1,-5.4
C#C[C@H](NN)c1cc2sccc2s1,-5.8
C#C[C@@H](NN)c1ccc(C(C)(C)C)cc1,-5.9
C#C[C@H](NN)c1ccc(C(C)(C)C)cc1,-6.7
C#C[C@@H](NN)c1ccc(C(F)(F)F)cc1,-6.6
C#C[C@H](NN)c1ccc(C(F)(F)F)cc1,-7.1
C#C[C@@H](NN)c1ccc(C)nc1,-6.1
C#C[C@H](NN)c1ccc(C)nc1,-5.7
C#C[C@@H](NN)c1ccc(C)s1,-5.6
C#C[C@H](NN)c1ccc(C)s1,-5.3
C#C[C@@H](NN)c1ccc(Cl)s1,-5.7
C#C[C@H](NN)c1ccc(Cl)s1,-5.4
C#C[C@@H](NN)c1ccc2c(c1)CCO2,-6.5
C#C[C@H](NN)c1ccc2c(c1)CCO2,-6.9
C#C[C@@H](NN)c1cccc(C)c1F,-6.6
C#C[C@H](NN)c1cccc(C)c1F,-6.3
C#C[C@@H](NN)c1cnn(-c2ccccc2)c1,-6.7
C#C[C@H](NN)c1cnn(-c2ccccc2)c1,-7.1
C#C[C@@H](NN)c1cnn(-c2ccccc2)n1,-6.6
C#C[C@H](NN)c1cnn(-c2ccccc2)n1,-7.1
C#C[C@@H](NN)c1cnn(C)c1C,-5.0
C#C[C@H](NN)c1cnn(C)c1C,-5.5
C#C[C@@](O)(CCl)c1ccncc1,-5.6
C#C[C@](O)(CCl)c1ccncc1,-5.2
C#C[C@@H](O)c1cc2ccccc2n1CC,-5.7
C#C[C@H](O)c1cc2ccccc2n1CC,-6.1
C#C[C@@H](O)c1ccc(C(C)(C)C)cc1,-6.1
C#C[C@H](O)c1ccc(C(C)(C)C)cc1,-6.6
C#C[C@@H](O)c1ccc(OC)cc1C,-5.1
C#C[C@H](O)c1ccc(OC)cc1C,-5.5
C#C[C@@H](O)c1cccc(C(F)(F)F)c1,-6.5
C#C[C@H](O)c1cccc(C(F)(F)F)c1,-7.0
C#C[C@@H](O)c1ccccn1,-5.5
C#C[C@H](O)c1ccccn1,-5.2
C#C[C@@H](O)c1cccnc1C,-4.8
C#C[C@H](O)c1cccnc1C,-5.1
C#C[C@@H](O)c1cncn1CC,-4.6
C#C[C@H](O)c1cncn1CC,-4.9
C#C[C@@H](O)c1csc(C(F)F)n1,-5.4
C#C[C@H](O)c1csc(C(F)F)n1,-5.7
C#C[C@@H](OC(C)=O)/C(C)=C/CC,-4.8
C#C[C@H](OC(C)=O)/C(C)=C/CC,-5.1
C#C[C@@H](OCc1ccccc1)C(C)(C)C=O,-5.7
C#C[C@H](OCc1ccccc1)C(C)(C)C=O,-6.1
C#C[C@@H](ON)c1cccnc1,-5.2
C#C[C@H](ON)c1cccnc1,-5.6
C#C[C@@H](SCCCC)c1ccc(C)cc1,-5.7
C#C[C@H](SCCCC)c1ccc(C)cc1,-6.1
C#C[C@@]1(C(=O)O)CCc2ccccc2O1,-4.4
C#C[C@]1(C(=O)O)CCc2ccccc2O1,-4.0
C#C[C@@]1(C)CCCCCC1=O,-4.8
C#C[C@]1(C)CCCCCC1=O,-4.5
C#CC1(N[S@@](=O)C(C)(C)C)COC1,-4.1
C#CC1(N[S@](=O)C(C)(C)C)COC1,-3.8
C#C[C@@]1(O)C(C)=C(CC)C(=O)CC1(C)C,-4.3
C#C[C@]1(O)C(C)=C(CC)C(=O)CC1(C)C,-3.3
C#C[C@@]1(O)C=C(OC)C(OC)=CC1=O,-5.0
C#C[C@]1(O)C=C(OC)C(OC)=CC1=O,-5.3
C#C[C@@]1(O)CCCCO1,-4.2
C#C[C@]1(O)CCCCO1,-4.7
C#CC1(O)CCN([C@@H](C)C(=O)O)CC1,-4.4
C#CC1(O)CCN([C@H](C)C(=O)O)CC1,-4.9
C#C[C@@]1(OC(=O)CCC)CN2CCC1CC2,-3.8
C#C[C@]1(OC(=O)CCC)CN2CCC1CC2,-4.2
C#C[C@@]1(OCC)C=C(Cl)C=CC1,-4.9
C#C[C@]1(OCC)C=C(Cl)C=CC1,-5.2
C#CC1=C(/C(F)=C(/F)CC)O[C@@H](C)CC1,-5.0
C#CC1=C(/C(F)=C(/F)CC)O[C@H](C)CC1,-5.6
C#CC1=C(F)C[C@@H](C(/C=C\NC)=C/C)C=C1,-5.4
C#CC1=C(F)C[C@H](C(/C=C\NC)=C/C)C=C1,-6.5
C#CC1=C[C@@](C)(C(=O)c2ccccc2)CC=C1,-6.4
C#CC1=C[C@](C)(C(=O)c2ccccc2)CC=C1,-7.3
C#CC1=C[C@@H](N2CCN(C(=O)O)CC2)CC1,-6.8
C#CC1=C[C@H](N2CCN(C(=O)O)CC2)CC1,-5.6
C#CC1=C[C@@H](O)C(C)(C)CC1,-5.8
C#CC1=C[C@H](O)C(C)(C)CC1,-5.2
C#CC1=C[C@@H](OCC)C(C)(C)CC1,-5.6
C#CC1=C[C@H](OCC)C(C)(C)CC1,-5.2
C#CC1=CC=CC[C@@H]1CC(N)=O,-5.9
C#CC1=CC=CC[C@H]1CC(N)=O,-5.4
C#C[C@@H]1CC(=O)N(NC(=O)CCC)C1,-6.2
C#C[C@H]1CC(=O)N(NC(=O)CCC)C1,-5.6
C#C[C@@H]1CCC(OC)(OC)C1,-4.7
C#C[C@H]1CCC(OC)(OC)C1,-4.0
C#C[C@@H]1CCCC(=C=C=C2CCC(=C)C2)C1,-6.0
C#C[C@H]1CCCC(=C=C=C2CCC(=C)C2)C1,-6.9
C#C[C@@H]1CCCCN1Cc1ccccc1,-5.3
C#C[C@H]1CCCCN1Cc1ccccc1,-6.9
C#C[C@@H]1CCCN(N=[N+]=[N-])C(=O)C1,-5.7
C#C[C@H]1CCCN(N=[N+]=[N-])C(=O)C1,-4.9
C#C[C@@H]1CCCN1C(=O)OCCCC,-5.2
C#C[C@H]1CCCN1C(=O)OCCCC,-5.6
C#C[C@@H]1CCCN1C(=O)c1cccc(C)c1,-4.3
C#C[C@H]1CCCN1C(=O)c1cccc(C)c1,-6.3
C#C[C@@H]1CCCc2cccnc21,-6.4
C#C[C@H]1CCCc2cccnc21,-6.1
C#C[C@@H]1CCN(C(C)=O)C1,-5.1
C#C[C@H]1CCN(C(C)=O)C1,-4.8
C#C[C@@H]1CN(C)C(=O)CO1,-4.2
C#C[C@H]1CN(C)C(=O)CO1,-4.5
C#C[C@@H]1CNC(=O)CO1,-4.3
C#C[C@H]1CNC(=O)CO1,-4.9
C#C[C@@H]1COC(C)(C)C1,-4.6
C#C[C@H]1COC(C)(C)C1,-4.2
C#C[C@@H]1COC2(CCCCC2)O1,-5.1
C#C[C@H]1COC2(CCCCC2)O1,-4.5
C#C[C@@H]1Cc2ccccc2OC(C)(C)O1,-4.1
C#C[C@H]1Cc2ccccc2OC(C)(C)O1,-1.3
C#C[C@@H]1c2c([nH]c3ccc(C)cc23)CCN1C,-5.6
C#C[C@H]1c2c([nH]c3ccc(C)cc23)CCN1C,-4.7
C#C/C=C\C1=C(C)[C@@H](C)CCC1,-4.8
C#C/C=C\C1=C(C)[C@H](C)CCC1,-5.4
C#C/C=N/C[N@+](C)(O)CC#C,-4.6
C#C/C=N/C[N@@+](C)(O)CC#C,-4.3
C#CCC#C[C@@H]1CCCC1(C)C,-4.7
C#CCC#C[C@H]1CCCC1(C)C,-5.2
C#CCC(=O)N[C@@H](/C=C/CN)C(=O)O,-5.8
C#CCC(=O)N[C@H](/C=C/CN)C(=O)O,-5.4
C#CC[C@@H](C(=O)O)c1cncnc1,-5.3
C#CC[C@H](C(=O)O)c1cncnc1,-5.7
C#CC[C@@H](C(=O)OC)c1ccccc1,-5.5
C#CC[C@H](C(=O)OC)c1ccccc1,-5.8
C#CCC(C)(C)[C@@H](O)c1ccc(Cl)cc1,-5.8
C#CCC(C)(C)[C@H](O)c1ccc(Cl)cc1,-6.1
C#CC[C@@](C)(S)ON=[N+]=[N-],-4.0
C#CC[C@](C)(S)ON=[N+]=[N-],-4.3
C#CC[C@@H](C)C(=O)NCc1nn[nH]n1,-6.1
C#CC[C@H](C)C(=O)NCc1nn[nH]n1,-5.8
C#CC[C@@H](C)NC(=O)Nc1ccccc1,-6.7
C#CC[C@H](C)NC(=O)Nc1ccccc1,-6.2
C#CC[C@@H](C)NC(=O)O,-4.9
C#CC[C@H](C)NC(=O)O,-4.6
C#CC[C@@H](C)NC(=O)c1c(F)cccc1F,-6.2
C#CC[C@H](C)NC(=O)c1c(F)cccc1F,-6.5
C#CC[C@@H](C)NC(=O)c1c[nH]c(=O)[nH]1,-6.1
C#CC[C@H](C)NC(=O)c1c[nH]c(=O)[nH]1,-5.8
C#CC[C@@H](C)NC(=O)c1ccc(C#N)cc1,-6.4
C#CC[C@H](C)NC(=O)c1ccc(C#N)cc1,-6.7
C#CC[C@@H](C)NC(=O)c1cccc(C)c1O,-6.6
C#CC[C@H](C)NC(=O)c1cccc(C)c1O,-6.1
C#CC[C@@H](C)NC(=O)c1cn[nH]c1,-5.8
C#CC[C@H](C)NC(=O)c1cn[nH]c1,-5.5
C#CC[C@@H](C)NS(=O)(=O)c1ccn[nH]1,-5.7
C#CC[C@H](C)NS(=O)(=O)c1ccn[nH]1,-5.3
C#CC[C@@H](C)NS(=O)(=O)c1cnc[nH]1,-5.7
C#CC[C@H](C)NS(=O)(=O)c1cnc[nH]1,-5.2
C#CC[C@@H](C)Nc1ccc(C#N)cn1,-6.0
C#CC[C@H](C)Nc1ccc(C#N)cn1,-5.7
C#CC[C@@H](C)c1cc(=O)[nH]o1,-5.5
C#CC[C@H](C)c1cc(=O)[nH]o1,-5.9
C#CC[C@@H](CC(=O)N(C)C)C(C)C,-4.9
C#CC[C@H](CC(=O)N(C)C)C(C)C,-4.6
C#CC[C@@H](CC)NC(=O)CC(C)(C)C,-4.8
C#CC[C@H](CC)NC(=O)CC(C)(C)C,-5.2
C#CC[C@@H](CC)NC(=O)c1ccc(F)nc1,-6.7
C#CC[C@H](CC)NC(=O)c1ccc(F)nc1,-6.4
C#CC[C@@H](CC)NC(=O)c1cccc(O)c1,-6.8
C#CC[C@H](CC)NC(=O)c1cccc(O)c1,-6.4
C#CC[C@@H](CC)NC(=O)c1cscn1,-5.6
C#CC[C@H](CC)NC(=O)c1cscn1,-5.2
C#CC[C@@H](CC)NC(=O)c1scnc1C,-5.5
C#CC[C@H](CC)NC(=O)c1scnc1C,-5.2
C#CC[C@@H](CC)NCc1ccc(Cl)cc1,-6.6
C#CC[C@H](CC)NCc1ccc(Cl)cc1,-6.3
C#CC[C@@H](CC)n1cnc(C(=O)OC)c1N,-5.4
C#CC[C@H](CC)n1cnc(C(=O)OC)c1N,-5.7
C#CC[C@@H](Cl)CCCO,-4.4
C#CC[C@H](Cl)CCCO,-4.7
C#CC[C@@H](N)C(=O)N(CC#N)CC#N,-4.7
C#CC[C@H](N)C(=O)N(CC#N)CC#N,-5.0
C#CC[C@@H](N)C(=O)N(CCO)C(C)C,-4.4
C#CC[C@H](N)C(=O)N(CCO)C(C)C,-4.9
C#CC[C@@H](N)C(=O)N1CCCO1,-5.2
C#CC[C@H](N)C(=O)N1CCCO1,-5.5
C#CC[C@@H](N)C(=O)Nc1ccc(CC)cc1,-6.6
C#CC[C@H](N)C(=O)Nc1ccc(CC)cc1,-6.9
C#CC[C@@H](N)C(=O)Nc1cccc(C#N)c1,-6.4
C#CC[C@H](N)C(=O)Nc1cccc(C#N)c1,-6.7
C#CC[C@@H](N)C(=O)Nc1cnn(CC)c1,-5.6
C#CC[C@H](N)C(=O)Nc1cnn(CC)c1,-6.0
C#CC[C@@H](N)c1n[nH]c(C2CCCC2)n1,-7.0
C#CC[C@H](N)c1n[nH]c(C2CCCC2)n1,-7.3
C#CC[C@@H](N)c1n[nH]c(C2CCCCC2)n1,-7.3
C#CC[C@H](N)c1n[nH]c(C2CCCCC2)n1,-7.6
C#CC[C@@H](N)c1nc(C(C)(C)C)no1,-6.0
C#CC[C@H](N)c1nc(C(C)(C)C)no1,-5.5
C#CC[C@@H](N)c1nc(C2CCOCC2)no1,-6.5
C#CC[C@H](N)c1nc(C2CCOCC2)no1,-6.9
C#CC[C@@H](N)c1nncn1CCC,-4.8
C#CC[C@H](N)c1nncn1CCC,-5.4
C#CC[C@@H](NC(=O)C1CCCC1)C(=O)O,-6.0
C#CC[C@H](NC(=O)C1CCCC1)C(=O)O,-6.4
C#CC[C@@H](NC(=O)C=C(C)C)C(=O)O,-5.7
C#CC[C@H](NC(=O)C=C(C)C)C(=O)O,-6.1
C#CC[C@@H](NC(=O)NC1(C)CC1)C(=O)O,-5.9
C#CC[C@H](NC(=O)NC1(C)CC1)C(=O)O,-5.6
C#CC[C@@H](NC(=O)NCC(C)C)C(=O)O,-5.7
C#CC[C@H](NC(=O)NCC(C)C)C(=O)O,-6.2
C#CC[C@@H](NC(=O)NCC)C(=O)O,-5.3
C#CC[C@H](NC(=O)NCC)C(=O)O,-5.6
C#CC[C@@H](NC(=O)NCC1CC1)C(=O)O,-5.9
C#CC[C@H](NC(=O)NCC1CC1)C(=O)O,-6.4
C#CC[C@@H](NC(=O)NCCC)C(=O)O,-5.4
C#CC[C@H](NC(=O)NCCC)C(=O)O,-5.9
C#CC[C@@H](NC(=O)c1cccs1)C(=O)O,-5.7
C#CC[C@H](NC(=O)c1cccs1)C(=O)O,-6.0
C#CC[C@@H](NCCC)c1cnccc1C,-5.5
C#CC[C@H](NCCC)c1cnccc1C,-5.2
C#CCC1=C[C@@H](O)CC(C)(C)C1,-5.7
C#CCC1=C[C@H](O)CC(C)(C)C1,-5.4
C#CCC1=CN(C)[C@@H](O)C=C1,-5.8
C#CCC1=CN(C)[C@H](O)C=C1,-5.5
C#CC/C=C/CC[C@@]1(C)NCCS1,-5.7
C#CC/C=C/CC[C@]1(C)NCCS1,-5.3
