smiles,docking_score
CCC(=O)Nc1ccc(C)c(NC(=O)N[C@@H]2CCC(=O)N(C)C2)c1,-20.4
CCC(=O)Nc1ccc(C)c(NC(=O)N[C@H]2CCC(=O)N(C)C2)c1,-26.86
CC(C)C(=O)NC[C@@H]1CCCN(C(=O)/C=C/c2ccccc2C#N)C1,-24.57
CC(C)C(=O)NC[C@H]1CCCN(C(=O)/C=C/c2ccccc2C#N)C1,-19.47
Cc1ccc(C(=O)N[C@@H](C#N)C2CCCCC2)c(F)c1,-35.21
Cc1ccc(C(=O)N[C@H](C#N)C2CCCCC2)c(F)c1,-29.77
CC(C)Oc1ccc([C@@H](C)NC(=O)N2CCO[C@H](C(N)=O)C2)cc1,-13.25
CC(C)Oc1ccc([C@H](C)NC(=O)N2CCO[C@@H](C(N)=O)C2)cc1,-19.52
O=C(Nc1ccc(F)c(Cl)c1)N[C@@H]1CCCN(CCO)C1=O,-33.25
O=C(Nc1ccc(F)c(Cl)c1)N[C@H]1CCCN(CCO)C1=O,-25.24
COCC(=O)N1CCN(C(=O)[C@@H](C)Oc2cccc(Cl)c2)CC1,-29.18
COCC(=O)N1CCN(C(=O)[C@H](C)Oc2cccc(Cl)c2)CC1,-34.4
C[C@@H](O)CNC(=O)Nc1ccc(CCCc2ccccc2)cc1,-33.49
C[C@H](O)CNC(=O)Nc1ccc(CCCc2ccccc2)cc1,-23.39
COC(=O)C[C@@H]1CCCCN1C(=O)C(=O)Nc1ccccc1,-28.91
COC(=O)C[C@H]1CCCCN1C(=O)C(=O)Nc1ccccc1,-38.96
C[C@@H](C(=O)NC1(C#N)CCCCC1)N1CCS(=O)CC1,-23.57
C[C@H](C(=O)NC1(C#N)CCCCC1)N1CCS(=O)CC1,-10.54
COC(=O)c1ccc(S(=O)(=O)N[C@@H](C)c2cccc(F)c2F)cc1,-29.52
COC(=O)c1ccc(S(=O)(=O)N[C@H](C)c2cccc(F)c2F)cc1,-37.95
CC(=O)c1cccc(O[C@@H](C)C(=O)N2CCCCC2)c1,-21.12
CC(=O)c1cccc(O[C@H](C)C(=O)N2CCCCC2)c1,-30.32
N#C[C@@H](NC(=O)c1ccccc1F)c1ccc(Cl)cc1,-31.33
N#C[C@H](NC(=O)c1ccccc1F)c1ccc(Cl)cc1,-36.68
CCN1CCN(C(=O)C[C@@H](C)c2ccc(OC)cc2)CC1,-37.92
CCN1CCN(C(=O)C[C@H](C)c2ccc(OC)cc2)CC1,-31.39
CC[C@@H](NC(=O)[C@@H]1CCN(C)C(=O)C1)c1ccncc1,-26.99
CC[C@H](NC(=O)[C@H]1CCN(C)C(=O)C1)c1ccncc1,-36.89
COc1cc(C)ccc1OCC(=O)N1CCC[C@@H](CNC(C)=O)C1,-20.98
COc1cc(C)ccc1OCC(=O)N1CCC[C@H](CNC(C)=O)C1,-26.72
CSc1ccc([C@@H](C)NCc2ccc(Cl)cc2)cc1,-47.84
CSc1ccc([C@H](C)NCc2ccc(Cl)cc2)cc1,-38.42
COCC(=O)N1CCN([C@@H](C)C(=O)Nc2ccccc2C)CC1,-26.15
COCC(=O)N1CCN([C@H](C)C(=O)Nc2ccccc2C)CC1,-33.98
CNC(=O)[C@@H]1CCCN(C(=O)/C(C)=C/c2ccccc2Cl)C1,-26.57
CNC(=O)[C@H]1CCCN(C(=O)/C(C)=C/c2ccccc2Cl)C1,-43.91
COc1cc(C(=O)N[C@@H](C)c2ccc(OC)c(OC)c2)ccc1F,-27.08
COc1cc(C(=O)N[C@H](C)c2ccc(OC)c(OC)c2)ccc1F,-35.29
C[C@@H]1C[C@H](N(C)C(=O)Cc2cccc(OCC(F)(F)F)c2)CCN1C,-34.92
C[C@H]1C[C@H](N(C)C(=O)Cc2cccc(OCC(F)(F)F)c2)CCN1C,-20.85
COC(=O)C[C@@H]1CCCCN1CC(=O)Nc1cc(Cl)ccc1C,-55.34
COC(=O)C[C@H]1CCCCN1CC(=O)Nc1cc(Cl)ccc1C,-61.09
C[C@@H]1CCCN(C(=O)C(=O)Nc2ccccc2SCCC#N)C1,-26.5
C[C@H]1CCCN(C(=O)C(=O)Nc2ccccc2SCCC#N)C1,-32.48
CCCOc1ccc(CN[C@@H](C)c2ccncc2)cc1,-33.38
CCCOc1ccc(CN[C@H](C)c2ccncc2)cc1,-43.59
COc1cc(CN[C@@H](C)C2CCOCC2)ccc1C,-37.21
COc1cc(CN[C@H](C)C2CCOCC2)ccc1C,-43.63
C[C@@H](NC(=O)C1=NN(C)C(=O)CC1)c1ccncc1,-27.91
C[C@H](NC(=O)C1=NN(C)C(=O)CC1)c1ccncc1,-34.73
C[C@@H](N)C1CCN(C(=O)COc2cc(Cl)ccc2Cl)CC1,-47.05
C[C@H](N)C1CCN(C(=O)COc2cc(Cl)ccc2Cl)CC1,-37.49
COCC1CCN([C@@H](C)C(=O)Nc2cccc(C(F)(F)F)c2)CC1,-41.68
COCC1CCN([C@H](C)C(=O)Nc2cccc(C(F)(F)F)c2)CC1,-48.05
CC[C@@H]1CCCN(C(=O)NCc2cccc(OCCOC)c2)C1,-30.98
CC[C@H]1CCCN(C(=O)NCc2cccc(OCCOC)c2)C1,-17.46
COC(=O)C[C@@H]1CCCCN1C(=O)CNc1ccccc1[N+](=O)[O-],-40.98
COC(=O)C[C@H]1CCCCN1C(=O)CNc1ccccc1[N+](=O)[O-],-30.45
CS[C@@H](C(=O)Nc1ccc(C(=O)N(C)C)cc1)c1ccccc1,-27.91
CS[C@H](C(=O)Nc1ccc(C(=O)N(C)C)cc1)c1ccccc1,-33.08
COCc1ccccc1CN[C@@H](C)c1ccc(S(C)(=O)=O)cc1,-34.06
COCc1ccccc1CN[C@H](C)c1ccc(S(C)(=O)=O)cc1,-24.81
CCOc1ccccc1[C@H](CC)NC(=O)[C@@H]1CCC(=O)C[C@@H]1C,-10.79
CCOc1ccccc1[C@H](CC)NC(=O)[C@H]1CCC(=O)C[C@@H]1C,-19.52
CCc1ccc([C@@H](C)NC(=O)C2CCC(N)CC2)cc1,-30.93
CCc1ccc([C@H](C)NC(=O)C2CCC(N)CC2)cc1,-40.79
CCCCNC(=O)[C@@H](C)N1CCN(CCOc2ccc(Cl)cc2)CC1,-22.76
CCCCNC(=O)[C@H](C)N1CCN(CCOc2ccc(Cl)cc2)CC1,-36.95
C[C@H](C(=O)N[C@@H]1CCC[C@H](N(C)C)C1)N1CCN(C)CC1,-7.26
C[C@H](C(=O)N[C@H]1CCC[C@H](N(C)C)C1)N1CCN(C)CC1,-21.31
C[C@@H](NC(=O)c1ccccc1[N+](=O)[O-])c1ccc(F)c(F)c1,-31.97
C[C@H](NC(=O)c1ccccc1[N+](=O)[O-])c1ccc(F)c(F)c1,-25.65
CNS(=O)(=O)c1ccc([C@@H](C)NC(=O)c2ccc(=O)n(C)c2)cc1,-33.91
CNS(=O)(=O)c1ccc([C@H](C)NC(=O)c2ccc(=O)n(C)c2)cc1,-21.45
COCC1CCN([C@@H](C)C(=O)Nc2cc(F)ccc2F)CC1,-52.81
COCC1CCN([C@H](C)C(=O)Nc2cc(F)ccc2F)CC1,-42.71
CSc1ccc([C@@H](C)NCc2ccncc2)cc1,-46.87
CSc1ccc([C@H](C)NCc2ccncc2)cc1,-41.64
C[C@@H]1CC[C@@H](C)N(C(=O)C(=O)Nc2ccccc2OCC(F)F)C1,-28.09
C[C@@H]1CC[C@H](C)N(C(=O)C(=O)Nc2ccccc2OCC(F)F)C1,-19.99
CN(C)C[C@@H]1CN(C(=O)C(=O)Nc2cc(F)c(F)c(F)c2)CCO1,-37.04
CN(C)C[C@H]1CN(C(=O)C(=O)Nc2cc(F)c(F)c(F)c2)CCO1,-44.53
COc1ccc(C(=O)N[C@@H](C)c2ccc(C#N)cc2)cn1,-36.72
COc1ccc(C(=O)N[C@H](C)c2ccc(C#N)cc2)cn1,-24.61
CCOc1ccc([C@@H](C)NS(=O)(=O)c2ccc(C#N)cc2)cc1,-26.09
CCOc1ccc([C@H](C)NS(=O)(=O)c2ccc(C#N)cc2)cc1,-35.91
CCN(CC)c1ccc(NC(=O)C(=O)N2C[C@@H](C)O[C@@H](C)C2)cn1,-40.48
CCN(CC)c1ccc(NC(=O)C(=O)N2C[C@H](C)O[C@@H](C)C2)cn1,-33.22
Cc1cc(NC(=O)C(=O)N2CCC[C@@H](C(F)(F)F)C2)ccc1F,-42.43
Cc1cc(NC(=O)C(=O)N2CCC[C@H](C(F)(F)F)C2)ccc1F,-35.71
COCCOc1cc(C)ccc1CNC(=O)N1C[C@@H](C)O[C@H](C)C1,-32.57
COCCOc1cc(C)ccc1CNC(=O)N1C[C@H](C)O[C@@H](C)C1,-27.4
COc1ccccc1OCCN1CCC[C@@H](NC(=O)C(C)C)C1,-38.93
COc1ccccc1OCCN1CCC[C@H](NC(=O)C(C)C)C1,-29.27
CC(C)Oc1cccc(CN(C)C(=O)[C@@H]2CCCCO2)c1,-17.12
CC(C)Oc1cccc(CN(C)C(=O)[C@H]2CCCCO2)c1,-23.95
COc1ccc(OC(F)F)c(CNC(=O)[C@@H]2CC=CCC2)c1,-22.92
COc1ccc(OC(F)F)c(CNC(=O)[C@H]2CC=CCC2)c1,-36.54
CNC(=O)CC1CCN([C@@H](C)C(=O)Nc2ccc(C)cc2C)CC1,-43.41
CNC(=O)CC1CCN([C@H](C)C(=O)Nc2ccc(C)cc2C)CC1,-48.49
CC[C@@H](C(=O)Nc1cccc(C(N)=S)c1)c1ccccc1,-38.11
CC[C@H](C(=O)Nc1cccc(C(N)=S)c1)c1ccccc1,-30.51
CCOc1ccc(N(CCC#N)C(=O)CN2CCC[C@@H](OC)C2)cc1,-29.48
CCOc1ccc(N(CCC#N)C(=O)CN2CCC[C@H](OC)C2)cc1,-9.19
NC(=O)C[C@@H](NC(=O)c1cccc(C(F)F)c1)C1CCCCC1,-27.25
NC(=O)C[C@H](NC(=O)c1cccc(C(F)F)c1)C1CCCCC1,-34.06
CCNC(=O)N1CCN([C@@H](C)C(=O)Nc2ccc(Cl)cc2Cl)CC1,-29.82
CCNC(=O)N1CCN([C@H](C)C(=O)Nc2ccc(Cl)cc2Cl)CC1,-37.0
CC(C)CNC(=O)N1CCC[C@@H](C(=O)NCc2cccc(O)c2)C1,-24.76
CC(C)CNC(=O)N1CCC[C@H](C(=O)NCc2cccc(O)c2)C1,-32.28
Cc1ccc(NC(=O)N[C@@H]2CCC(=O)N(C)C2)cc1C(N)=O,-27.75
Cc1ccc(NC(=O)N[C@H]2CCC(=O)N(C)C2)cc1C(N)=O,-33.56
Cc1cc(C(=O)N[C@@H](C)c2ccc(OC(C)C)cc2)cc(O)n1,-26.91
Cc1cc(C(=O)N[C@H](C)c2ccc(OC(C)C)cc2)cc(O)n1,-32.33
Cc1ccc(C)c(OCCN2CCC[C@@H](OCCO)C2)c1,-49.13
Cc1ccc(C)c(OCCN2CCC[C@H](OCCO)C2)c1,-41.13
C[C@@H](NC(=O)C1CCC(N)CC1)c1cc(F)ccc1F,-47.75
C[C@H](NC(=O)C1CCC(N)CC1)c1cc(F)ccc1F,-41.96
C[C@@H](NCc1ccncc1Cl)c1ccc(S(C)(=O)=O)c(F)c1,-49.82
C[C@H](NCc1ccncc1Cl)c1ccc(S(C)(=O)=O)c(F)c1,-42.91
CCN1CCCC[C@@H]1CNC(=O)N1CCN(C(=O)COC)CC1,-20.9
CCN1CCCC[C@H]1CNC(=O)N1CCN(C(=O)COC)CC1,-12.99
COc1ccc(OCCN2CCC[C@@H](N(C)C)C2)cc1,-34.91
COc1ccc(OCCN2CCC[C@H](N(C)C)C2)cc1,-52.38
CCNC(=O)c1ccc(NC(=O)C(=O)N2CCC[C@@H](CC)C2)c(C)c1,-23.12
CCNC(=O)c1ccc(NC(=O)C(=O)N2CCC[C@H](CC)C2)c(C)c1,-33.13
Cc1cccc(NCC(=O)N2C[C@@H](C)O[C@@H](C)C2)c1Cl,-27.66
Cc1cccc(NCC(=O)N2C[C@H](C)O[C@@H](C)C2)c1Cl,-32.8
CC[C@@H]1C(=O)NCCN1C(=O)/C=C\c1ccccc1,-21.0
CC[C@H]1C(=O)NCCN1C(=O)/C=C/c1ccccc1,-36.91
COC(=O)[C@H](C)[C@@H](NC(=O)[C@@H]1CCCOC1)c1ccccc1,-31.96
COC(=O)[C@H](C)[C@H](NC(=O)[C@@H]1CCCOC1)c1ccccc1,-26.7
C[C@@H]1CCCCN1C(=O)C(=O)Nc1ccccc1OCC(F)F,-32.77
C[C@H]1CCCCN1C(=O)C(=O)Nc1ccccc1OCC(F)F,-22.09
CNc1ccc(C(=O)N[C@@H](C)c2ccccc2OC)cc1[N+](=O)[O-],-40.93
CNc1ccc(C(=O)N[C@H](C)c2ccccc2OC)cc1[N+](=O)[O-],-32.16
C[C@@H](NC(=O)c1nccnc1N)c1cccc(OC(F)(F)F)c1,-35.02
C[C@H](NC(=O)c1nccnc1N)c1cccc(OC(F)(F)F)c1,-28.15
CNC(=O)c1ccc(NC(=O)N[C@@H]2CCCC[C@@H]2CO)cc1,-19.61
CNC(=O)c1ccc(NC(=O)N[C@@H]2CCCC[C@H]2CO)cc1,-27.67
CNC(=O)[C@@H]1CCCCN1C/C(C)=C/c1ccccc1,-40.82
CNC(=O)[C@H]1CCCCN1C/C(C)=C/c1ccccc1,-30.0
Cc1cc(S(=O)(=O)N[C@@H](C)[C@@H]2CN(C)CCO2)cc(C)c1F,-14.55
Cc1cc(S(=O)(=O)N[C@@H](C)[C@H]2CN(C)CCO2)cc(C)c1F,-20.1
Cc1cc(S(=O)(=O)N[C@H](C)[C@@H]2CN(C)CCO2)cc(C)c1F,-27.92
Cc1cc(S(=O)(=O)N[C@H](C)[C@H]2CN(C)CCO2)cc(C)c1F,-5.81
CC[C@@H](C)c1ccc(NC(=O)Cc2ccc(NC(C)=O)cc2)cc1,-24.86
CC[C@H](C)c1ccc(NC(=O)Cc2ccc(NC(C)=O)cc2)cc1,-35.44
Cc1c(C(=O)N[C@@H](C)C2CCCCC2)cccc1S(N)(=O)=O,-18.61
Cc1c(C(=O)N[C@H](C)C2CCCCC2)cccc1S(N)(=O)=O,-28.93
CN(C[C@@H]1CCCCO1)S(=O)(=O)c1cccc(Cl)c1C#N,-29.28
CN(C[C@H]1CCCCO1)S(=O)(=O)c1cccc(Cl)c1C#N,-23.02
COc1ccc([C@@H](C)C(=O)Nc2ccc(S(=O)(=O)N(C)C)cc2)cc1,-7.61
COc1ccc([C@H](C)C(=O)Nc2ccc(S(=O)(=O)N(C)C)cc2)cc1,-28.07
CC[C@@H](NS(=O)(=O)c1cccc(C#N)c1)c1ccc(C)cc1,-38.08
CC[C@H](NS(=O)(=O)c1cccc(C#N)c1)c1ccc(C)cc1,-31.64
CC(=O)N(C)C1CCN([C@@H](C)C(=O)Nc2ccc(Cl)cn2)CC1,-17.84
CC(=O)N(C)C1CCN([C@H](C)C(=O)Nc2ccc(Cl)cn2)CC1,-29.49
COc1ccc([C@@H](CCO)NC(=O)c2ccc(F)c(SC)c2)cc1,-32.58
COc1ccc([C@H](CCO)NC(=O)c2ccc(F)c(SC)c2)cc1,-38.09
CCc1ccc([C@@H](CC)NCc2ccc(C(N)=O)cc2)cc1,-34.48
CCc1ccc([C@H](CC)NCc2ccc(C(N)=O)cc2)cc1,-27.74
COC(=O)[C@@](C)(NCc1cccc(C(N)=O)c1)c1cc(F)ccc1F,-36.98
COC(=O)[C@](C)(NCc1cccc(C(N)=O)c1)c1cc(F)ccc1F,-29.67
C[C@@H]1CN(C(=O)CCc2ccccc2OC(F)(F)F)CCS1,-10.75
C[C@H]1CN(C(=O)CCc2ccccc2OC(F)(F)F)CCS1,-35.41
CC[C@@H](N[C@@H](C)c1ccccc1)c1ccc(OC)c(OC)c1,-39.28
CC[C@@H](N[C@H](C)c1ccccc1)c1ccc(OC)c(OC)c1,-19.19
CNC(=O)[C@@H]1CCCN(C(=O)/C=C/c2ccc(OC(C)C)cc2)C1,-9.31
CNC(=O)[C@H]1CCCN(C(=O)/C=C/c2ccc(OC(C)C)cc2)C1,-24.13
C[C@@H](c1cccnc1)N(C)C(=O)C1CCN(S(C)(=O)=O)CC1,-29.07
C[C@H](c1cccnc1)N(C)C(=O)C1CCN(S(C)(=O)=O)CC1,-24.01
CN(C)C(=O)c1ccc(C(=O)N[C@@H](C(N)=O)c2ccc(F)cc2)cc1,-30.66
CN(C)C(=O)c1ccc(C(=O)N[C@H](C(N)=O)c2ccc(F)cc2)cc1,-36.87
CC(C)c1ccc(C(=O)NC[C@@H]2CCCNC2)cc1,-37.78
CC(C)c1ccc(C(=O)NC[C@H]2CCCNC2)cc1,-47.44
Cn1nc(C(=O)N[C@@H](CC(=O)O)c2ccc(F)cc2)ccc1=O,-9.41
Cn1nc(C(=O)N[C@H](CC(=O)O)c2ccc(F)cc2)ccc1=O,-2.16
CCOC[C@@H]1CCCN(C(=O)C(=O)Nc2c(C)cccc2F)C1,-33.87
CCOC[C@H]1CCCN(C(=O)C(=O)Nc2c(C)cccc2F)C1,-25.02
CCOCCN1CCN(C(=O)[C@@H](C)Sc2ccccc2)CC1,-21.92
CCOCCN1CCN(C(=O)[C@H](C)Sc2ccccc2)CC1,-27.9
Cc1ccc([C@@H](C)NC(=O)N2CCCC(C)(C)C2)cc1[N+](=O)[O-],-9.39
Cc1ccc([C@H](C)NC(=O)N2CCCC(C)(C)C2)cc1[N+](=O)[O-],-28.35
COc1ccccc1NCC(=O)N1CCC[C@@H](C(=O)OC(C)(C)C)C1,-36.56
COc1ccccc1NCC(=O)N1CCC[C@H](C(=O)OC(C)(C)C)C1,-25.77
COc1cc(CN[C@@H](c2ccccc2)C(C)C)ccn1,-42.23
COc1cc(CN[C@H](c2ccccc2)C(C)C)ccn1,-49.08
C[C@@H](O)CN1CCC(CN(C)Cc2c(O)cccc2Cl)CC1,-37.09
C[C@H](O)CN1CCC(CN(C)Cc2c(O)cccc2Cl)CC1,-30.15
Cc1ccc([N+](=O)[O-])cc1C(=O)NC[C@@H]1CCCN(CC(C)C)C1,-50.16
Cc1ccc([N+](=O)[O-])cc1C(=O)NC[C@H]1CCCN(CC(C)C)C1,-43.95
CC[C@@H](O)CN(Cc1ccccc1)C(=O)c1ccc(C(N)=O)cc1,-9.61
CC[C@H](O)CN(Cc1ccccc1)C(=O)c1ccc(C(N)=O)cc1,-35.32
CCOc1ccccc1CNC(=O)[C@@H]1COCCN1,-55.41
CCOc1ccccc1CNC(=O)[C@H]1COCCN1,-45.83
C[C@@H](Cc1ccccc1F)C(=O)N1CCCC[C@H]1CCNS(C)(=O)=O,-22.06
C[C@H](Cc1ccccc1F)C(=O)N1CCCC[C@H]1CCNS(C)(=O)=O,-28.91
CCCOc1cc(C)ccc1CNC(=O)[C@@H]1CCCN(C(=O)CC)C1,-18.66
CCCOc1cc(C)ccc1CNC(=O)[C@H]1CCCN(C(=O)CC)C1,-26.94
COC(=O)[C@@H]1COCCN1S(=O)(=O)/C=C/c1ccccc1,-17.73
COC(=O)[C@H]1COCCN1S(=O)(=O)/C=C/c1ccccc1,-29.58
CC[C@@H](NC(=O)[C@@H]1CCCNC1)c1cccc([N+](=O)[O-])c1,-34.02
CC[C@H](NC(=O)[C@@H]1CCCNC1)c1cccc([N+](=O)[O-])c1,-29.02
CCCC(=O)NC[C@@H]1CCCN(CCOc2ccc(OCC)cc2)C1,-20.48
CCCC(=O)NC[C@H]1CCCN(CCOc2ccc(OCC)cc2)C1,-29.59
O=C(O)[C@@H]1CCCN(C(=O)NCc2cccc(Cl)c2)C1,2.28
O=C(O)[C@H]1CCCN(C(=O)NCc2cccc(Cl)c2)C1,-11.88
C[C@@H]1CCC[C@@H](NC(=O)Cn2cc([N+](=O)[O-])ccc2=O)[C@@H]1C,-26.75
C[C@@H]1CCC[C@H](NC(=O)Cn2cc([N+](=O)[O-])ccc2=O)[C@@H]1C,-19.9
COc1ccc(C(=O)N[C@@H](C)c2ccc(OC)c(OC)c2)c(OC)c1,-32.61
COc1ccc(C(=O)N[C@H](C)c2ccc(OC)c(OC)c2)c(OC)c1,-25.04
COCCn1nc(C(=O)N[C@@H](C)c2cccc(C#N)c2)ccc1=O,-28.89
COCCn1nc(C(=O)N[C@H](C)c2cccc(C#N)c2)ccc1=O,-17.83
NC(=O)C[C@@H]1CCCN(CCCN2CCOCC2)C1,-33.38
NC(=O)C[C@H]1CCCN(CCCN2CCOCC2)C1,-19.69
O=C(O)CC[C@@H](NC(=O)[C@H]1CCCCO1)c1ccccc1,12.22
O=C(O)CC[C@H](NC(=O)[C@H]1CCCCO1)c1ccccc1,5.47
C[C@@H](NS(=O)(=O)c1ccc(S(=O)(=O)N(C)C)cc1)c1ccccn1,-25.09
C[C@H](NS(=O)(=O)c1ccc(S(=O)(=O)N(C)C)cc1)c1ccccn1,-19.84
CC(C)[C@@H]1CN(CC(=O)NC2CCN(C(C)C)CC2)CCS1,-23.12
CC(C)[C@H]1CN(CC(=O)NC2CCN(C(C)C)CC2)CCS1,-45.69
COc1cccc([C@@H](CNC2CCSCC2)N(C)C)c1,-39.1
COc1cccc([C@H](CNC2CCSCC2)N(C)C)c1,-45.65
COc1cccc(CN[C@@H](C)c2cccc([N+](=O)[O-])c2)n1,-41.78
COc1cccc(CN[C@H](C)c2cccc([N+](=O)[O-])c2)n1,-48.5
CCCc1ccc(S(=O)(=O)N[C@@H](CC)C2CCOCC2)cc1,-19.59
CCCc1ccc(S(=O)(=O)N[C@H](CC)C2CCOCC2)cc1,-33.3
C[C@@H](NS(=O)(=O)c1ccc(F)c(C#N)c1)c1cccc(F)c1F,-37.55
C[C@H](NS(=O)(=O)c1ccc(F)c(C#N)c1)c1cccc(F)c1F,-30.73
CCNC(=O)c1ccc(NC(=O)C(=O)N2CCC[C@@H](OCC)C2)cc1,-25.43
CCNC(=O)c1ccc(NC(=O)C(=O)N2CCC[C@H](OCC)C2)cc1,-31.78
CC(C)CN1CCC[C@@H](CNC(=O)c2cccc([N+](=O)[O-])c2O)C1,-8.55
CC(C)CN1CCC[C@H](CNC(=O)c2cccc([N+](=O)[O-])c2O)C1,6.01
CO[C@@H]1CCCN(C(=O)C(=O)Nc2ccc(C(C)(C)C#N)cc2)C1,-37.15
CO[C@H]1CCCN(C(=O)C(=O)Nc2ccc(C(C)(C)C#N)cc2)C1,-30.13
CC[C@@H]1CN(C(=O)C(=O)Nc2ccc(Br)nc2)CCO1,-32.47
CC[C@H]1CN(C(=O)C(=O)Nc2ccc(Br)nc2)CCO1,-38.93
CCCNC(=O)[C@@H]1CCCN(C(=O)N[C@@H](C)c2ccccc2Cl)C1,-33.49
CCCNC(=O)[C@@H]1CCCN(C(=O)N[C@H](C)c2ccccc2Cl)C1,-5.59
CCc1ccccc1NC(=O)[C@@H](C)N1CCN(C(=O)C(C)C)CC1,-36.18
CCc1ccccc1NC(=O)[C@H](C)N1CCN(C(=O)C(C)C)CC1,-28.36
CCC[C@@H](NCc1cccnc1OC)c1ccc(Cl)cc1,-33.75
CCC[C@H](NCc1cccnc1OC)c1ccc(Cl)cc1,-42.32
C[C@@H]1CN(C(=O)NCc2cccc(OCCN(C)C)c2)C[C@@H](C)O1,-30.51
C[C@H]1CN(C(=O)NCc2cccc(OCCN(C)C)c2)C[C@H](C)O1,-15.24
CC(=O)c1cccc(S(=O)(=O)N(C)[C@@H](C)c2ccccc2F)c1,-26.3
CC(=O)c1cccc(S(=O)(=O)N(C)[C@H](C)c2ccccc2F)c1,-35.85
CCOc1cc(C)ccc1NC(=O)C(=O)N1CCC[C@@H](COC)C1,-30.12
CCOc1cc(C)ccc1NC(=O)C(=O)N1CCC[C@H](COC)C1,-36.07
CC(=O)c1ccc(S(=O)(=O)N[C@@H](CC(=O)O)c2ccc(C)cc2)cc1,1.95
CC(=O)c1ccc(S(=O)(=O)N[C@H](CC(=O)O)c2ccc(C)cc2)cc1,7.65
C=CCC[C@@H](NC(=O)c1ccc(=O)n(CCOC)n1)c1ccccc1,-27.06
C=CCC[C@H](NC(=O)c1ccc(=O)n(CCOC)n1)c1ccccc1,-32.88
CC(=O)CCc1ccc(O[C@H](C)C(=O)N2CC[C@@H](N)C[C@@H]2C)cc1,-27.29
